Month,Province,Code_Site,Site_Name,District,OverallScore,Number_ofCell,Total_Sub,Total_Volume_Mb, Total_Revenue ,Rev_Priority,Revenue_Loss,LTC_Sub,LTC_Volume_Mb,LTC_Revenue,TPlus_Sub,TPlus_Volume_Mb,TPlus_Revenue,Total_Down_hour,Total_CountDown,Day_Down_hour,Day_CountDown,Night_Down_hour,Night_CountDown,AC_Power_hour,AC_Power_CountDown,OPTIC_hour,OPTIC_CountDown,EQUIPMENT_hour,EQUIPMENT_CountDown,RECTIFIER_hour,RECTIFIER_CountDown,Other_hour,Other_CountDown,MC_to_BTS,Distance_KM,Access_Time_Minute,LodAC,LodDC,Capacity_Battery_V,Cpcity_Bttery_Ah,Capacity_Solar_V,Cpcity_Solr_Ah,Capacity_Gen_KVA,Backup_time_Minute,Battery,Lat,Long
2022-06-30,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,36,48609,93403511.38,137231032.8,Priority1,0,32804,21303330,63577311,15805,72100181,73653722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2022-07-31,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,36,52541,93576975.31,136880314.3,Priority1,0,35682,21002331,62948681,16859,72574644,73931633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2022-08-31,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,36,48732,90552773.69,136668418.3,Priority1,0,32539,20077542,64393949,16193,70475232,72274470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2022-09-30,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,3,41028,91537616.58,136372855.8,Priority1,75763,27096,19980928,62331555,13932,71556688,74041301,1.3,1,1.3,1,0,0,1.3,1,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2022-11-30,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,54,79943,56610142.95,136231477.3,Priority1,0,66726,41409746,119465694,13217,15200397,16765783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-09-30,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,12,74303,55991741.51,135610740.3,Priority1,527375,61744,40832919,119407830,12559,15158822,16202910,2.3,2,0,0,2.3,2,2.3,2,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-10-31,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,41,43815,88083450.14,135588749.5,Priority1,5102802,29084,20263223,65252744,14731,67820227,70336006,6.8,4,5.6,3,1.3,1,6.8,4,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2023-02-28,VTE,VTE0353,VTE0353_NASIEW3,Naxaythong,6,52,37848,74815326.13," 135,122,927 ",Priority1,4101946,28590,47125950,105571861,9258,27689376,29551066,3.9,3,3.9,3,0,0,0,0,0,0,0,0,0,0,3.9,3,LTC to Site,15,31,15,52,48,100,0,0,0,180,Battery,18.039828,102.585864
2023-01-31,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,15,53333,88622876.22,134975257,Priority1,1723474,36495,19950256,62234846,16838,68672620,72740411,6.3,2,6.3,2,0,0,0.7,1,5.7,1,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2022-10-31,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,48,83359,55924042,132502781.5,Priority1,2083713,69476,41352419,117059405,13883,14571623,15443376,2.4,2,2.4,2,0,0,0.1,1,2.3,1,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-12-31,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,34,51669,85321663.58,131280062.6,Priority1,723452,35003,19205125,61468147,16666,66116539,69811916,1.2,1,0,0,1.2,1,1.2,1,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2023-03-31,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,15,50759,85269119.48,131176996.9,Priority1,7034895,35519,20018308,61473264,15240,65250812,69703733,26.6,4,19.5,3,7.1,1,0.4,1,26.2,3,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2022-12-31,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,48,82813,54743160.21,129484911,Priority1,0,69530,40349799,114080703,13283,14393362,15404208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-05-31,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,48,73100,56256192.05,128786260.7,Priority1,1125149,59868,40767639,112340743,13232,15488553,16445518,1.4,1,1.4,1,0,0,1.4,1,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-05-31,VTE,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5,26,69240,58826641.73,126149791.8,Priority1,237379,55021,39996914,105663849,14219,18829728,20485943,0.5,1,0.5,1,0,0,0.5,1,0,0,0,0,0,0,0,0,LTC to Site,8,26,19,79,48,200,0,0,0,20,Battery,17.94267,102.67107
2023-04-30,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,36,109582,50622916.94,125982238.8,Priority1,2397162,93177,39205192,113633952,16405,11417725,12348287,3.8,1,3.8,1,0,0,3.8,1,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-08-31,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,48,80345,52001890.28,124984525.8,Priority1,28457498,66339,38973756,110695635,14006,13028135,14288891,35.3,4,32.4,3,2.9,1,3.1,2,0.1,1,32.1,1,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-06-30,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,36,75371,54387880.68,123930041.7,Priority1,275400,62326,39350342,107902773,13045,15037539,16027268,0.4,1,0,0,0.4,1,0.4,1,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-04-30,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,12,68782,54707961.36,123603802.1,Priority1,497849,56137,40176441,108110832,12645,14531520,15492970,2.4,2,1.3,1,1.1,1,2.4,2,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-07-31,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,48,82400,52051014.33,122535072.1,Priority1,1350521,68364,39771245,109088200,14036,12279769,13446872,1.7,3,1.6,2,0.1,1,0.2,2,1.5,1,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2023-04-30,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,43,58649,78129883.25,121125234.4,Priority1,0,40824,18939648,58247192,17825,59190235,62878042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2022-07-31,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,35,60954,50099280.84,120449951.1,Priority1,0,48281,37729029,106279395,12673,12370252,14170556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2022-05-31,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,35,44268,49883099.8,120442727.4,Priority1,0,34825,36291656,105171354,9443,13591444,15271373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2022-05-31,VTP,VTP0056,VTP0056_BOUNGPHAO,Thourakhom,5,13,21071,36154039.79,120110930.5,Priority1,0,17317,28901024,112209690,3754,7253016,7901240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,33,50,19,57,0,0,0,0,0,0,No Battery,18.3329,102.5467
2022-08-31,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,33,48807,50124532.28,118238791.6,Priority1,6579417,38297,37610604,103868337,10510,12513928,14370455,12.5,1,12.5,1,0,0,12.5,1,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2023-03-31,KHM,KHM0084,KHM0084_BORKEUADONGTAI,Xaibouathong,6,62,15679,63893405.27," 117,774,753 ",Priority1,0,10721,43391500,91858785,4958,20501905,25915968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,25,35,20,50,48,200,0,0,0,480,Battery,17.1436,105.47087
2022-05-31,VTP,VTP0291,VTP0291_NUMHONE,Muen,5,11,11683,72748947.48,117707971.1,Priority1,15821,6775,37193537,80507604,4908,35555410,37200367,0.1,1,0.1,1,0,0,0.1,1,0,0,0,0,0,0,0,0,LTC to Site,115,240,22,71,48,200,0,0,0,0,Battery no backup,18.2856,101.9574
2023-02-28,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,46,50838,75578083.15,117483156.5,Priority1,1660848,35055,17291011,55374929,15783,58287072,62108228,2.1,1,2.1,1,0,0,2.1,1,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2022-09-30,VTP,VTP0291,VTP0291_NUMHONE,Muen,5,38,10468,75026050.58,117445716,Priority1,0,6100,37755863,78543191,4368,37270187,38902525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,115,240,22,71,48,200,0,0,0,0,Battery no backup,18.2856,101.9574
2022-11-30,VTE,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5,41,63692,52659860.59,116326536.1,Priority1,0,51325,35649788,97034424,12367,17010073,19292112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,8,26,19,79,48,200,0,0,0,20,Battery,17.94267,102.67107
2022-05-31,BLK,BLK0116,BLK0116_PAKKADINGMAI,Pakkading,6,29,57736,60013649.91," 116,096,053 ",Priority1,1451201,40644,22635855,76761486,17092,37377795,39334567,3.2,2,0.6,1,2.7,1,3.2,2,0,0,0,0,0,0,0,0,LTC to Site,62,100,9,38.7,48,200,0,0,10 ,30,Battery_Gen,18.301109,104.10046
2022-04-30,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,33,49021,48353835.02,115370066.2,Priority1,6553661,38453,35699069,101360540,10568,12654766,14009526,12.4,2,1.3,1,11.1,1,12.4,2,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2022-10-31,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,35,43158,48007579.52,114864794.6,Priority1,0,34142,36390350,101425135,9016,11617229,13439660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2023-01-31,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,70,45757,48499278.63,114037859.1,Priority1,0,36448,37324148,100147820,9309,11175130,13890039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2022-04-30,VTP,VTP0291,VTP0291_NUMHONE,Muen,5,19,12893,73304581.46,113868258.6,Priority1,0,7437,36512491,75887187,5456,36792090,37981071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,115,240,22,71,48,200,0,0,0,0,Battery no backup,18.2856,101.9574
2023-01-31,VTE,VTE0078,VTE0078_JUDSUN_ARMY,Naxaythong,5,41,55690,56458649.69,113278892.6,Priority1,700380,44763,39404523,94580997,10927,17054126,18697896,1.1,1,1.1,1,0,0,1.1,1,0,0,0,0,0,0,0,0,LTC to Site,23,50,16,67,48,200,0,0,0,180,Battery,18.0326,102.525
2023-03-31,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,70,44690,47992956.28,113155603.7,Priority1,0,35909,37366614,100601956,8781,10626342,12553647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2023-01-31,VTE,VTE0407,VTE0407_DONGSANGHIN,Xaithani,5,32,100557,51648217.26,113032318,Priority1,410198,77237,39595063,99779255,23320,12053154,13253063,0.8,1,0.8,1,0,0,0.8,1,0,0,0,0,0,0,0,0,LTC To Site,16,35,15,61,48,200,0,0,0,20,Battery,18.05875,102.6878
2022-07-31,VTE,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5,26,68717,51965146.18,112778222.3,Priority1,2773980,54815,35097476,94105986,13902,16867671,18672237,7,7,4.4,5,2.6,2,7,7,0,0,0,0,0,0,0,0,LTC to Site,8,26,19,79,48,200,0,0,0,20,Battery,17.94267,102.67107
2022-06-30,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,33,42675,47114852.96,112771425,Priority1,1487956,33792,34782573,98791429,8883,12332280,13979996,2.9,1,2.9,1,0,0,2.9,1,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2022-11-30,VTE,VTE0407,VTE0407_DONGSANGHIN,Xaithani,5,29,96779,49141448.35,112417099.4,Priority1,655766,73593,36968004,97974911,23186,12173445,14442189,1.4,2,0.9,1,0.6,1,1.4,2,0,0,0,0,0,0,0,0,LTC To Site,16,35,15,61,48,200,0,0,0,20,Battery,18.05875,102.6878
2022-04-30,VTE,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5,26,65397,51401467.23,112288156.6,Priority1,1372411,51972,35819488,95288957,13425,15581979,16999200,3.4,4,1.7,3,1.7,1,3.4,4,0,0,0,0,0,0,0,0,LTC to Site,8,26,19,79,48,200,0,0,0,20,Battery,17.94267,102.67107
2022-06-30,VTE,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5,26,65043,52402206.5,111759715.1,Priority1,993420,51625,35340165,92943829,13418,17062042,18815886,2.5,3,1.2,2,1.3,1,2.5,3,0,0,0,0,0,0,0,0,LTC to Site,8,26,19,79,48,200,0,0,0,20,Battery,17.94267,102.67107
2022-10-31,VTE,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5,26,63678,51238886.11,111716317.5,Priority1,795829,50889,34909559,93393417,12789,16329327,18322901,2,3,1.7,2,0.3,1,2,3,0,0,0,0,0,0,0,0,LTC to Site,8,26,19,79,48,200,0,0,0,20,Battery,17.94267,102.67107
2022-12-31,VTE,VTE0407,VTE0407_DONGSANGHIN,Xaithani,5,32,103225,49505699.37,111525373.8,Priority1,0,78899,37995260,98953808,24326,11510439,12571566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC To Site,16,35,15,61,48,200,0,0,0,20,Battery,18.05875,102.6878
2022-08-31,VTE,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5,26,65257,51418561.1,111500029.2,Priority1,2472783,51804,35019006,93247343,13453,16399555,18252686,6.3,6,6.3,6,0,0,6.3,6,0,0,0,0,0,0,0,0,LTC to Site,8,26,19,79,48,200,0,0,0,20,Battery,17.94267,102.67107
2022-04-30,BLK,BLK0116,BLK0116_PAKKADINGMAI,Pakkading,6,3,63887,60139390," 111,454,468 ",Priority1,30960,43981,23137119,72975047,19906,37002271,38479421,0.7,1,0.7,1,0,0,0.7,1,0,0,0,0,0,0,0,0,LTC to Site,62,100,9,38.7,48,200,0,0,10 ,30,Battery_Gen,18.301109,104.10046
2022-11-30,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,31,38806,46035538.52,111448152.4,Priority1,2554020,30645,35336133,98018388,8161,10699405,13429765,5.3,1,0,0,5.3,1,5.3,1,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2022-05-31,VTE,VTE0078,VTE0078_JUDSUN_ARMY,Naxaythong,5,41,48630,50638014.34,111417272.4,Priority1,1033305,38493,34015755,93369994,10137,16622260,18047278,1.7,2,0,1,1.6,1,0,0,1.7,2,0,0,0,0,0,0,LTC to Site,23,50,16,67,48,200,0,0,0,180,Battery,18.0326,102.525
2023-03-31,VTE,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5,26,89860,52305497.96,111357364.2,Priority1,463989,73715,37797503,95234256,16145,14507994,16123109,1.2,3,0.5,1,0.7,2,1.2,3,0,0,0,0,0,0,0,0,LTC to Site,8,26,19,79,48,200,0,0,0,20,Battery,17.94267,102.67107
2022-05-31,VTE,VTE0110,VTE0110_NONGTENGNEUA,Sikhottabong,6,22,63348,56781140.83," 111,311,550 ",Priority1,1496123,48729,38223561,91276507,14619,18557580,20035043,4.5,1,0,0,4.5,1,0,0,4.5,1,0,0,0,0,0,0,LTC to Site,18,40,9,35,48,200,0,0,0,60,Battery,18.0242,102.53
2022-12-31,VTE,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5,26,65371,50323077.39,110957611.5,Priority1,462323,52933,34561467,92986403,12438,15761610,17971208,1.2,3,1,2,0.2,1,1.2,3,0,0,0,0,0,0,0,0,LTC to Site,8,26,19,79,48,200,0,0,0,20,Battery,17.94267,102.67107
2022-08-31,VTE,VTE0110,VTE0110_NONGTENGNEUA,Sikhottabong,6,22,56254,56248954.53," 110,855,162 ",Priority1,3441874,43035,37989910,91196815,13219,18259045,19658347,10.5,5,7.5,3,3,2,10.5,5,0,0,0,0,0,0,0,0,LTC to Site,18,40,9,35,48,200,0,0,0,60,Battery,18.0242,102.53
2022-08-31,VTE,VTE0078,VTE0078_JUDSUN_ARMY,Naxaythong,5,41,47027,54239591.9,110711113.7,Priority1,4717127,36893,37201026,92285354,10134,17038566,18425759,7.7,2,7.7,2,0,0,7.7,2,0,0,0,0,0,0,0,0,LTC to Site,23,50,16,67,48,200,0,0,0,180,Battery,18.0326,102.525
2022-09-30,VTE,VTE0070,VTE0070_CHAMPAR,Sikhottabong,5,70,43122,47344850.93,110626352.4,Priority1,0,34215,35292620,97066499,8907,12052231,13559853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,27,60,17,68,48,200,0,0,0,210,Battery,18.0297,102.47316
2022-05-31,VTE,VTE0407,VTE0407_DONGSANGHIN,Xaithani,5,31,92241,47896593.8,110401299.1,Priority1,192905,70389,33600393,94768038,21852,14296201,15633261,0.4,1,0,0,0.4,1,0.4,1,0,0,0,0,0,0,0,0,LTC To Site,16,35,15,61,48,200,0,0,0,20,Battery,18.05875,102.6878
2022-10-31,VTE,VTE0407,VTE0407_DONGSANGHIN,Xaithani,5,3,83898,50641475.97,110307683.4,Priority1,163089,63820,38523016,96933617,20078,12118460,13374067,3.7,7,3,5,0.7,2,2,5,1,1,0.7,1,0,0,0,0,LTC To Site,16,35,15,61,48,200,0,0,0,20,Battery,18.05875,102.6878
2022-07-31,VTE,VTE0110,VTE0110_NONGTENGNEUA,Sikhottabong,6,22,67395,54347464.7," 109,929,637 ",Priority1,3649546,52168,37126880,91168653,15227,17220585,18760984,11.2,5,3,3,8.2,2,5.1,4,0,0,0,0,6.1,1,0,0,LTC to Site,18,40,9,35,48,200,0,0,0,60,Battery,18.0242,102.53
