Month,Province,Code_Site,Site_name,District,Issue,Part,Number_ofCell,Downtime_hour,Count_Down
2022-04-30,ATP,ATP0052,ATP0052_CHALERNXAY,Sanxai,OPTIC,Day,12,3.5,1
2022-04-30,ATP,ATP0052,ATP0052_CHALERNXAY,Sanxai,AC POWER,Day,12,1.5,3
2022-04-30,ATP,ATP0052,ATP0052_CHALERNXAY,Sanxai,AC POWER,Night,12,8.25,2
2022-04-30,ATP,ATP0053,ATP0053_TADSEANG,Sanxai,OPTIC,Night,9,5.222222222,0
2022-04-30,ATP,ATP0053,ATP0053_TADSEANG,Sanxai,OTHER,Day,9,0.222222222,1
2022-04-30,ATP,ATP0053,ATP0053_TADSEANG,Sanxai,AC POWER,Day,9,7.222222222,5
2022-04-30,ATP,ATP0054,ATP0054_M_SANXAY,Sanxai,OPTIC,Day,9,0.222222222,0
2022-04-30,ATP,ATP0054,ATP0054_M_SANXAY,Sanxai,AC POWER,Day,9,2.555555556,1
2022-04-30,ATP,ATP0055,ATP0055_KM100,Sanamxai,OPTIC,Day,17,10.05882353,2
2022-04-30,ATP,ATP0055,ATP0055_KM100,Sanamxai,OPTIC,Night,17,3.058823529,1
2022-04-30,ATP,ATP0055,ATP0055_KM100,Sanamxai,AC POWER,Day,17,0.352941176,0
2022-04-30,ATP,ATP0055,ATP0055_KM100,Sanamxai,AC POWER,Night,17,1,1
2022-04-30,ATP,ATP0056,ATP0056_BORKHAMVANGTAD,Sanxai,AC POWER,Day,9,3.111111111,3
2022-04-30,ATP,ATP0057,ATP0057_DONXIM,Phouvong,OPTIC,Day,9,0.888888889,1
2022-04-30,ATP,ATP0057,ATP0057_DONXIM,Phouvong,AC POWER,Day,9,4.777777778,4
2022-04-30,ATP,ATP0058,ATP0058_GNAYOUDOM,Phouvong,OPTIC,Night,12,4.666666667,1
2022-04-30,ATP,ATP0058,ATP0058_GNAYOUDOM,Phouvong,AC POWER,Day,12,2.083333333,2
2022-04-30,ATP,ATP0059,ATP0059_M_PHOUVONG,Phouvong,EQUIPMENT,Day,12,2.75,1
2022-04-30,ATP,ATP0059,ATP0059_M_PHOUVONG,Phouvong,OPTIC,Day,12,1.25,0
2022-04-30,ATP,ATP0059,ATP0059_M_PHOUVONG,Phouvong,OTHER,Day,12,1.25,1
2022-04-30,ATP,ATP0060,ATP0060_NAMKONG_DUM1,Phouvong,AC POWER,Day,2,1,1
2022-04-30,ATP,ATP0061,ATP0061_NAMKONG_DAM2,Phouvong,OPTIC,Day,4,8,1
2022-04-30,ATP,ATP0061,ATP0061_NAMKONG_DAM2,Phouvong,AC POWER,Day,4,2.5,3
2022-04-30,ATP,ATP0061,ATP0061_NAMKONG_DAM2,Phouvong,AC POWER,Night,4,1.75,1
2022-04-30,ATP,ATP0062,ATP0062_NAMKONG_DAM3,Phouvong,OPTIC,Day,13,8.230769231,1
2022-04-30,ATP,ATP0062,ATP0062_NAMKONG_DAM3,Phouvong,AC POWER,Day,13,5.538461538,2
2022-04-30,ATP,ATP0063,ATP0063_PHOUNAKEUA,Sanxai,OPTIC,Day,11,6.181818182,1
2022-04-30,ATP,ATP0063,ATP0063_PHOUNAKEUA,Sanxai,AC POWER,Night,11,7.727272727,1
2022-04-30,ATP,ATP0064,ATP0064_PHUKANHONG,Xaisettha,OPTIC,Day,4,18.25,4
2022-04-30,ATP,ATP0064,ATP0064_PHUKANHONG,Xaisettha,OPTIC,Night,4,3.25,1
2022-04-30,ATP,ATP0064,ATP0064_PHUKANHONG,Xaisettha,AC POWER,Day,4,4.25,2
2022-04-30,ATP,ATP0065,ATP0065_VIENGXAY,Phouvong,AC POWER,Day,6,3.833333333,2
2022-04-30,ATP,ATP0067,ATP0067_SOUANKOUY,Sanamxai,AC POWER,Day,6,7.333333333,3
2022-04-30,ATP,ATP0068,ATP0068_CHANTOR,Sanamxai,AC POWER,Night,6,9.333333333,1
2022-04-30,ATP,ATP0080,ATP0080_SAPOUNGNEOU,xaisettha,AC POWER,Day,9,0.333333333,1
2022-04-30,ATP,ATP0080,ATP0080_SAPOUNGNEOU,xaisettha,AC POWER,Night,9,0.444444444,1
2022-04-30,ATP,ATP0081,ATP0081_HADSUN,Xaisettha,EQUIPMENT,Day,9,2.888888889,1
2022-04-30,ATP,ATP0081,ATP0081_HADSUN,Xaisettha,OPTIC,Day,9,0.888888889,1
2022-04-30,BLK,BLK0002,BLK0002_ANOUSONXAI,Pakxan,AC POWER,Day,6,1.833333333,2
2022-04-30,BLK,BLK0002,BLK0002_ANOUSONXAI,Pakxan,AC POWER,Night,6,3.833333333,1
2022-04-30,BLK,BLK0003,BLK0003_ARMY_PROVINCE,Pakxan,AC POWER,Day,15,4.066666667,3
2022-04-30,BLK,BLK0003,BLK0003_ARMY_PROVINCE,Pakxan,AC POWER,Night,15,13.06666667,1
2022-04-30,BLK,BLK0004,BLK0004_BANDON,Pakxan,AC POWER,Night,9,8.444444444,1
2022-04-30,BLK,BLK0005,BLK0005_BANKUAY,Pakxan,AC POWER,Day,12,0.916666667,1
2022-04-30,BLK,BLK0005,BLK0005_BANKUAY,Pakxan,AC POWER,Night,12,1.333333333,1
2022-04-30,BLK,BLK0006,BLK0006_BOUAVENGKHAM,Pakxan,OPTIC,Day,12,1.166666667,1
2022-04-30,BLK,BLK0006,BLK0006_BOUAVENGKHAM,Pakxan,AC POWER,Night,12,9.666666667,1
2022-04-30,BLK,BLK0007,BLK0007_CHAMPA_HOTEL,Pakxan,AC POWER,Night,9,1.333333333,1
2022-04-30,BLK,BLK0008,BLK0008_GOVERNMENT_OFFICE,Pakxan,AC POWER,Night,12,1.333333333,1
2022-04-30,BLK,BLK0009,BLK0009_HANGXING,Pakxan,AC POWER,Night,12,1.333333333,1
2022-04-30,BLK,BLK0011,BLK0011_HOSPITAL_PROVINCE,Pakxan,AC POWER,Day,10,2.3,2
2022-04-30,BLK,BLK0011,BLK0011_HOSPITAL_PROVINCE,Pakxan,AC POWER,Night,10,1.3,1
2022-04-30,BLK,BLK0012,BLK0012_HOUAYXAY,Pakxan,AC POWER,Night,14,0.357142857,1
2022-04-30,BLK,BLK0013,BLK0013_HUAYSIET,Pakxan,AC POWER,Day,11,0.909090909,1
2022-04-30,BLK,BLK0013,BLK0013_HUAYSIET,Pakxan,AC POWER,Night,11,1.363636364,1
2022-04-30,BLK,BLK0014,BLK0014_KHAMBONE,Pakxan,AC POWER,Day,17,2.294117647,1
2022-04-30,BLK,BLK0014,BLK0014_KHAMBONE,Pakxan,AC POWER,Night,17,9.411764706,1
2022-04-30,BLK,BLK0015,BLK0015_KM9,Pakxan,AC POWER,Night,8,2.25,1
2022-04-30,BLK,BLK0016,BLK0016_KOUAYOUDOM,Pakxan,AC POWER,Day,12,0.916666667,1
2022-04-30,BLK,BLK0016,BLK0016_KOUAYOUDOM,Pakxan,AC POWER,Night,12,1.333333333,1
2022-04-30,BLK,BLK0017,BLK0017_NACHIK,Pakxan,AC POWER,Night,13,8.692307692,1
2022-04-30,BLK,BLK0018,BLK0018_NAHOI,Pakxan,AC POWER,Night,12,1.583333333,1
2022-04-30,BLK,BLK0019,BLK0019_NAMOUANG,Pakxan,AC POWER,Night,12,1.5,1
2022-04-30,BLK,BLK0020,BLK0020_NA_OI_NOU,Pakxan,AC POWER,Night,11,12.18181818,1
2022-04-30,BLK,BLK0021,BLK0021_NONGBUA,Pakxan,AC POWER,Night,16,8.5,1
2022-04-30,BLK,BLK0022,BLK0022_PAKBUNG,Pakxan,AC POWER,Day,8,1.75,2
2022-04-30,BLK,BLK0022,BLK0022_PAKBUNG,Pakxan,AC POWER,Night,8,14,1
2022-04-30,BLK,BLK0023,BLK0023_PAKGNIEP_SC,Pakxan,AC POWER,Day,15,0.866666667,1
2022-04-30,BLK,BLK0023,BLK0023_PAKGNIEP_SC,Pakxan,AC POWER,Night,15,1.066666667,1
2022-04-30,BLK,BLK0025,BLK0025_PAKSAN_NEUA,Pakxan,AC POWER,Night,17,1.352941176,1
2022-04-30,BLK,BLK0026,BLK0026_PAKSAN_TAI,Pakxan,AC POWER,Day,12,1.416666667,1
2022-04-30,BLK,BLK0026,BLK0026_PAKSAN_TAI,Pakxan,AC POWER,Night,12,4.75,1
2022-04-30,BLK,BLK0027,BLK0027_PAKSANMAI,Pakxan,AC POWER,Night,10,9.4,1
2022-04-30,BLK,BLK0028,BLK0028_PATXOUM_TAI,Pakxan,AC POWER,Day,9,0.555555556,1
2022-04-30,BLK,BLK0028,BLK0028_PATXOUM_TAI,Pakxan,AC POWER,Night,9,8.444444444,1
2022-04-30,BLK,BLK0029,BLK0029_PAXOUM,Pakxan,AC POWER,Day,15,0.6,1
2022-04-30,BLK,BLK0029,BLK0029_PAXOUM,Pakxan,AC POWER,Night,15,8.466666667,1
2022-04-30,BLK,BLK0030,BLK0030_PHONESAI,Pakxan,AC POWER,Night,11,2.909090909,1
2022-04-30,BLK,BLK0031,BLK0031_PHONSAART,Pakxan,AC POWER,Night,11,9.818181818,1
2022-04-30,BLK,BLK0032,BLK0032_PHONXAI_TAI,Pakxan,AC POWER,Night,9,6.666666667,1
2022-04-30,BLK,BLK0033,BLK0033_PHOSY,Pakxan,AC POWER,Night,9,1.333333333,1
2022-04-30,BLK,BLK0034,BLK0034_PHOXAI,Pakxan,AC POWER,Night,8,1.375,1
2022-04-30,BLK,BLK0035,BLK0035_POLICE_SC,Pakxan,AC POWER,Night,3,8.333333333,1
2022-04-30,BLK,BLK0036,BLK0036_SANTHIPHABSC,Pakxan,AC POWER,Night,9,1.333333333,1
2022-04-30,BLK,BLK0037,BLK0037_SEANOUDOM,Pakxan,AC POWER,Night,18,1.333333333,1
2022-04-30,BLK,BLK0038,BLK0038_SIMOUNGKHOUN,Pakxan,AC POWER,Night,9,1.333333333,1
2022-04-30,BLK,BLK0039,BLK0039_SIVILAI,Pakxan,AC POWER,Day,12,1.916666667,2
2022-04-30,BLK,BLK0039,BLK0039_SIVILAI,Pakxan,AC POWER,Night,12,10.75,1
2022-04-30,BLK,BLK0040,BLK0040_SIVILAI_NEUA,Pakxan,AC POWER,Night,9,10.44444444,1
2022-04-30,BLK,BLK0041,BLK0041_SIVILAITHA,Pakxan,AC POWER,Day,9,1.333333333,1
2022-04-30,BLK,BLK0041,BLK0041_SIVILAITHA,Pakxan,AC POWER,Night,9,10.55555556,1
2022-04-30,BLK,BLK0042,BLK0042_SIVILAY_TAI,Pakxan,AC POWER,Day,9,1.333333333,1
2022-04-30,BLK,BLK0042,BLK0042_SIVILAY_TAI,Pakxan,AC POWER,Night,9,10.88888889,1
2022-04-30,BLK,BLK0043,BLK0043_SONGKHONE,Pakxan,OPTIC,Night,2,1.5,1
2022-04-30,BLK,BLK0043,BLK0043_SONGKHONE,Pakxan,AC POWER,Day,2,1,2
2022-04-30,BLK,BLK0043,BLK0043_SONGKHONE,Pakxan,AC POWER,Night,2,16.5,2
2022-04-30,BLK,BLK0045,BLK0045_SUANSAVAN,Pakxan,AC POWER,Day,9,1.333333333,1
2022-04-30,BLK,BLK0045,BLK0045_SUANSAVAN,Pakxan,AC POWER,Night,9,10.33333333,1
2022-04-30,BLK,BLK0046,BLK0046_TECHNO_OFFICE,Pakxan,AC POWER,Night,13,1.307692308,1
2022-04-30,BLK,BLK0047,BLK0047_THAKOKKHAEN,Pakxan,AC POWER,Day,9,3.555555556,4
2022-04-30,BLK,BLK0047,BLK0047_THAKOKKHAEN,Pakxan,AC POWER,Night,9,13.66666667,1
2022-04-30,BLK,BLK0048,BLK0048_THASIKAI,Pakxan,AC POWER,Night,18,9.388888889,1
2022-04-30,BLK,BLK0049,BLK0049_THONGYAI,Pakxan,AC POWER,Day,12,2.666666667,1
2022-04-30,BLK,BLK0050,BLK0050_BANKM7,Khamkeut,AC POWER,Day,8,3,1
2022-04-30,BLK,BLK0051,BLK0051_NONGXONG,Khamkeut,AC POWER,Day,9,1,2
2022-04-30,BLK,BLK0051,BLK0051_NONGXONG,Khamkeut,AC POWER,Night,9,1.222222222,1
2022-04-30,BLK,BLK0054,BLK0054_PHONBONG,Khamkeut,OPTIC,Day,11,0.363636364,1
2022-04-30,BLK,BLK0054,BLK0054_PHONBONG,Khamkeut,AC POWER,Day,11,1.363636364,2
2022-04-30,BLK,BLK0055,BLK0055_NAMDERN,Khamkeut,OPTIC,Day,9,0.333333333,1
2022-04-30,BLK,BLK0055,BLK0055_NAMDERN,Khamkeut,AC POWER,Day,9,0.555555556,1
2022-04-30,BLK,BLK0056,BLK0056_CHENGSAVANG,Khamkeut,OPTIC,Day,10,0.4,1
2022-04-30,BLK,BLK0056,BLK0056_CHENGSAVANG,Khamkeut,OPTIC,Night,10,3,1
2022-04-30,BLK,BLK0056,BLK0056_CHENGSAVANG,Khamkeut,AC POWER,Night,10,0.5,1
2022-04-30,BLK,BLK0057,BLK0057_DANNAMGNAN,Khamkeut,AC POWER,Day,9,4.111111111,1
2022-04-30,BLK,BLK0058,BLK0058_HOUAYTOUN,Khamkeut,OPTIC,Day,9,0.333333333,1
2022-04-30,BLK,BLK0058,BLK0058_HOUAYTOUN,Khamkeut,OPTIC,Night,9,3,1
2022-04-30,BLK,BLK0059,BLK0059_KEANGBIT,Khamkeut,AC POWER,Day,7,6.571428571,5
2022-04-30,BLK,BLK0059,BLK0059_KEANGBIT,Khamkeut,AC POWER,Night,7,6.428571429,2
2022-04-30,BLK,BLK0060,BLK0060_KEOSAENKHAM,Khamkeut,OPTIC,Day,6,0.166666667,0
2022-04-30,BLK,BLK0060,BLK0060_KEOSAENKHAM,Khamkeut,AC POWER,Day,6,3.166666667,2
2022-04-30,BLK,BLK0060,BLK0060_KEOSAENKHAM,Khamkeut,AC POWER,Night,6,3.5,1
2022-04-30,BLK,BLK0061,BLK0061_KHAMMOUAN,khamkeut,OPTIC,Day,2,0.5,1
2022-04-30,BLK,BLK0062,BLK0062_KM12,Khamkeut,OPTIC,Day,7,0.142857143,0
2022-04-30,BLK,BLK0062,BLK0062_KM12,Khamkeut,OPTIC,Night,7,6.571428571,1
2022-04-30,BLK,BLK0062,BLK0062_KM12,Khamkeut,AC POWER,Day,7,4,3
2022-04-30,BLK,BLK0064,BLK0064_KUANJAN,Khamkeut,AC POWER,Day,8,1.25,3
2022-04-30,BLK,BLK0064,BLK0064_KUANJAN,Khamkeut,AC POWER,Night,8,1.25,1
2022-04-30,BLK,BLK0066,BLK0066_NAHAY,Khamkeut,OPTIC,Day,7,1.714285714,1
2022-04-30,BLK,BLK0066,BLK0066_NAHAY,Khamkeut,AC POWER,Day,7,0.428571429,1
2022-04-30,BLK,BLK0067,BLK0067_NAHEUNG,Khamkeut,AC POWER,Day,6,3.166666667,2
2022-04-30,BLK,BLK0068,BLK0068_NAKADOK,Khamkeut,OPTIC,Day,10,1.1,1
2022-04-30,BLK,BLK0068,BLK0068_NAKADOK,Khamkeut,AC POWER,Day,10,1.9,1
2022-04-30,BLK,BLK0069,BLK0069_NAKHAM,Khamkeut,AC POWER,Day,14,1.071428571,3
2022-04-30,BLK,BLK0069,BLK0069_NAKHAM,Khamkeut,AC POWER,Night,14,1.214285714,1
2022-04-30,BLK,BLK0070,BLK0070_NAMEUANG,khamkeut,OPTIC,Day,6,1.666666667,1
2022-04-30,BLK,BLK0070,BLK0070_NAMEUANG,khamkeut,AC POWER,Day,6,0.5,1
2022-04-30,BLK,BLK0071,BLK0071_NAMKATA,khamkeut,OPTIC,Day,6,0.166666667,0
2022-04-30,BLK,BLK0071,BLK0071_NAMKATA,khamkeut,AC POWER,Day,6,0.5,1
2022-04-30,BLK,BLK0072,BLK0072_NAMPARN,Khamkeut,OPTIC,Day,6,0.333333333,1
2022-04-30,BLK,BLK0072,BLK0072_NAMPARN,Khamkeut,OPTIC,Night,6,3,1
2022-04-30,BLK,BLK0073,BLK0073_NAMPHAO,khamkeut,OPTIC,Day,8,0.375,1
2022-04-30,BLK,BLK0075,BLK0075_NONGDONG,Khamkeut,OPTIC,Day,9,0.333333333,1
2022-04-30,BLK,BLK0075,BLK0075_NONGDONG,Khamkeut,OPTIC,Night,9,3,1
2022-04-30,BLK,BLK0075,BLK0075_NONGDONG,Khamkeut,AC POWER,Day,9,0.777777778,2
2022-04-30,BLK,BLK0075,BLK0075_NONGDONG,Khamkeut,AC POWER,Night,9,0.777777778,1
2022-04-30,BLK,BLK0076,BLK0076_NONGKOC,Khamkeut,OPTIC,Night,9,2,1
2022-04-30,BLK,BLK0076,BLK0076_NONGKOC,Khamkeut,AC POWER,Day,9,2.444444444,3
2022-04-30,BLK,BLK0076,BLK0076_NONGKOC,Khamkeut,AC POWER,Night,9,3,1
2022-04-30,BLK,BLK0077,BLK0077_NONGPONG,Khamkeut,OTHER,Night,18,1.722222222,1
2022-04-30,BLK,BLK0077,BLK0077_NONGPONG,Khamkeut,AC POWER,Day,18,2.166666667,3
2022-04-30,BLK,BLK0078,BLK0078_NONGPONG2,Khamkeut,OPTIC,Day,12,0.416666667,1
2022-04-30,BLK,BLK0078,BLK0078_NONGPONG2,Khamkeut,AC POWER,Day,12,2.583333333,2
2022-04-30,BLK,BLK0079,BLK0079_OUDOM,Khamkeut,OPTIC,Day,16,0.25,1
2022-04-30,BLK,BLK0079,BLK0079_OUDOM,Khamkeut,OPTIC,Night,16,2.9375,1
2022-04-30,BLK,BLK0079,BLK0079_OUDOM,Khamkeut,AC POWER,Day,16,1.125,1
2022-04-30,BLK,BLK0081,BLK0081_PAKKATAN,khamkeut,OPTIC,Day,6,6,2
2022-04-30,BLK,BLK0081,BLK0081_PAKKATAN,khamkeut,AC POWER,Day,6,0.5,1
2022-04-30,BLK,BLK0082,BLK0082_PHONMENT,Khamkeut,OPTIC,Day,9,0.333333333,1
2022-04-30,BLK,BLK0082,BLK0082_PHONMENT,Khamkeut,OPTIC,Night,9,2,1
2022-04-30,BLK,BLK0083,BLK0083_PHONMOUANGNOI,Khamkeut,AC POWER,Day,16,1.3125,2
2022-04-30,BLK,BLK0084,BLK0084_PHONPHENG,Khamkeut,AC POWER,Day,3,0.666666667,1
2022-04-30,BLK,BLK0085,BLK0085_PHONTHONG,khamkeut,OPTIC,Day,2,0.5,1
2022-04-30,BLK,BLK0086,BLK0086_PHONVILAI,Khamkeut,AC POWER,Day,17,0.529411765,1
2022-04-30,BLK,BLK0087,BLK0087_POMPEE,khamkeut,OPTIC,Day,15,0.066666667,0
2022-04-30,BLK,BLK0087,BLK0087_POMPEE,khamkeut,AC POWER,Day,15,0.933333333,2
2022-04-30,BLK,BLK0088,BLK0088_PONNGAM,khamkeut,AC POWER,Day,7,0.142857143,0
2022-04-30,BLK,BLK0088,BLK0088_PONNGAM,khamkeut,AC POWER,Night,7,11.42857143,1
2022-04-30,BLK,BLK0089,BLK0089_POST_OFFICE,Khamkeut,AC POWER,Day,5,1.4,2
2022-04-30,BLK,BLK0090,BLK0090_SAMTERY,Khamkeut,OPTIC,Day,2,0.5,1
2022-04-30,BLK,BLK0091,BLK0091_THABAK,Khamkeut,AC POWER,Day,9,0.888888889,2
2022-04-30,BLK,BLK0091,BLK0091_THABAK,Khamkeut,AC POWER,Night,9,1.222222222,1
2022-04-30,BLK,BLK0093,BLK0093_THONGKHAE,khamkeut,OPTIC,Day,11,0.090909091,0
2022-04-30,BLK,BLK0093,BLK0093_THONGKHAE,khamkeut,AC POWER,Day,11,0.545454545,1
2022-04-30,BLK,BLK0094,BLK0094_THONGVIENGKHAM,Khamkeut,OPTIC,Day,6,0.333333333,1
2022-04-30,BLK,BLK0100,BLK0100_HOUAYPHET,Pakkading,AC POWER,Day,15,0.6,1
2022-04-30,BLK,BLK0102,BLK0102_KHONEKHOUANG,Pakkading,AC POWER,Night,6,2,2
2022-04-30,BLK,BLK0104,BLK0104_LAOKHA,Pakkading,AC POWER,Day,12,2.333333333,2
2022-04-30,BLK,BLK0104,BLK0104_LAOKHA,Pakkading,AC POWER,Night,12,3,1
2022-04-30,BLK,BLK0106,BLK0106_NAMAY,Pakkading,AC POWER,Day,11,4.272727273,2
2022-04-30,BLK,BLK0106,BLK0106_NAMAY,Pakkading,AC POWER,Night,11,30.18181818,4
2022-04-30,BLK,BLK0107,BLK0107_NAMDAUE,Pakkading,AC POWER,Day,20,4.3,1
2022-04-30,BLK,BLK0107,BLK0107_NAMDAUE,Pakkading,AC POWER,Night,20,5,1
2022-04-30,BLK,BLK0109,BLK0109_NAMTHERN,Pakkading,AC POWER,Day,8,1.25,1
2022-04-30,BLK,BLK0113,BLK0113_PAKKADING,Pakkading,AC POWER,Day,3,8,4
2022-04-30,BLK,BLK0113,BLK0113_PAKKADING,Pakkading,AC POWER,Night,3,9.333333333,3
2022-04-30,BLK,BLK0114,BLK0114_PAKKADING_NEUA,Pakkading,AC POWER,Night,18,3,1
2022-04-30,BLK,BLK0115,BLK0115_PAKKADING_TAI,Pakkading,AC POWER,Day,8,0.375,1
2022-04-30,BLK,BLK0115,BLK0115_PAKKADING_TAI,Pakkading,AC POWER,Night,8,3,1
2022-04-30,BLK,BLK0116,BLK0116_PAKKADINGMAI,Pakkading,AC POWER,Day,3,0.666666667,1
2022-04-30,BLK,BLK0117,BLK0117_PAKPANG,Pakkading,AC POWER,Night,6,3,1
2022-04-30,BLK,BLK0118,BLK0118_PAKSA,Pakkading,AC POWER,Day,9,2.111111111,2
2022-04-30,BLK,BLK0118,BLK0118_PAKSA,Pakkading,AC POWER,Night,9,12.22222222,1
2022-04-30,BLK,BLK0119,BLK0119_PAKTHONE,Pakkading,AC POWER,Night,11,0.636363636,1
2022-04-30,BLK,BLK0120,BLK0120_PHONESI,Pakkading,AC POWER,Day,9,6.111111111,5
2022-04-30,BLK,BLK0121,BLK0121_PHONNGAM,Pakkading,AC POWER,Day,9,0.888888889,1
2022-04-30,BLK,BLK0122,BLK0122_SANDSAMLANE,Pakkading,AC POWER,Day,5,0.8,1
2022-04-30,BLK,BLK0122,BLK0122_SANDSAMLANE,Pakkading,AC POWER,Night,5,19.8,4
2022-04-30,BLK,BLK0123,BLK0123_SEANTOR,Pakkading,AC POWER,Day,9,1.111111111,2
2022-04-30,BLK,BLK0123,BLK0123_SEANTOR,Pakkading,AC POWER,Night,9,29.44444444,6
2022-04-30,BLK,BLK0124,BLK0124_THAKATHIN,Pakkading,AC POWER,Night,13,6.307692308,3
2022-04-30,BLK,BLK0131,BLK0131_CHOMTHONG,Viengthong,OPTIC,Day,24,1.625,0
2022-04-30,BLK,BLK0131,BLK0131_CHOMTHONG,Viengthong,AC POWER,Day,24,1.375,1
2022-04-30,BLK,BLK0133,BLK0133_HOUAYHOY,Viengthong,AC POWER,Day,7,4.142857143,1
2022-04-30,BLK,BLK0135,BLK0135_M_XAICHAMPHONE,Xaichamphone,OPTIC,Day,5,7.2,1
